date;project;readthroughput;writethroughput
2023-12-01T19:10:08+01:00;bridge-operator;224998;96871
2023-12-01T19:12:37+01:00;bridge-operator;208723;91150
2023-12-01T19:15:15+01:00;bridge-operator;170023;87906
2023-12-01T19:17:34+01:00;bridge-operator;237402;96894
2023-12-01T19:19:52+01:00;bridge-operator;276742;87146
2023-12-01T19:22:21+01:00;bridge-operator;228460;87166
2023-12-01T19:24:54+01:00;bridge-operator;180043;89509
2023-12-01T19:27:18+01:00;bridge-operator;213125;95249
2023-12-01T19:29:42+01:00;bridge-operator;219338;93640
2023-12-01T19:32:10+01:00;bridge-operator;240795;86378
